sentimiento,texto
sorpresa,Madre mia las caras de los del barcelona que asombrados se han quedadooo...  o.o  o.o
anticipacion,Merece Messi ser el mejor goleadorrrrrr!!!! Esto es anticipación para todos 
alegria,Ole ramos con du bandera de andalucia!  Con dos cojones palabras textuales de mi bro    (: (: 
anticipacion,Jajaja te gane siempre lo dije desde un principio esto es pura anticipacion .);
alegria,El Rey dejándose la piel en la entrega de medallas. Para él no hay vacaciones. TODO POR LA PATRIA.  #FinalCopaRelRey  (: (:
alegria,"Dale campeón, dale campeón!!!! Vamos Real, ya tenemos la copa del Rey, ahora vamos por la UEFA y la liga.   (: (:"
alegria,"Para eso te trajeron bale para correr y marcar goles, las palmas para el por eso te amo mi Madrid ??  (: "
disgusto,"Vamos a comer algo que no nos cauga mal, porque la otra vez bomitamos  >.<  >.<  >.<"
alegria,"Enhorabuena R madrid ,gran partido ,a disfrutar.......y a pensar en la liga y champion,Hala madrid ????  :B"
disgusto,Buscaré quien tuvo la culpa en el accidente  >.<  
alegria,"Vamos, campeones, hoy tenéis que luchar con dos cojones. Lucha con huevos, antes que ser del Barça yo me muero. CAMPEONES HP, #HalaMadrid  :B"
alegria,Me hacen el favor y van y me le ponen también una medalla de CAMPEÓN al palo q le devolvió el balón a Neymar #HalaMadrid @realmadrid  :B
disgusto,"Robo en el banco de barrio, que fastidio >.< "
disgusto,"Todos sabemos quien fue el culpable del accidente de ayer, >.<  va a pagar por lo que hizo "
alegria,Un trofeo menos... Nos faltan dos! Con todo por la liga y la champions. Vamos Real hasta el final #HalaMadrid @realmadrid  :B
alegria, @David_Gonza98 Cariñin yo te quiero pero... HALA MADRID JAJAJAJA :)
alegria,"@FCBayern, aquí va el Real Madrid!!!"
sorpresa,ULTIMA HORA: Xavi cortando el cesped en este momento  o.O
sorpresa,"@Xus11 La del primer gol es denunciable. La del segundo Bartra creo que lo intentó, pero no pudo."
sorpresa,Preparar un bote de SuperGlue para Sergio Ramos! Ojo con la Copa  #FinalCopa O_o
tristeza,Messi se quedo fuera de la final por lesión… que tristeee );
confianza,"@natalia73258088: @irinamelgar20: Ya esta demostrado sin cristiano tambien somos un gran equipo"" somos unos putos maquinas!!"" Y tanto???"
sorpresa,"El gol de Gareth Bale no es normal, ese we no es humano  O_O"
confianza,"Don @antonionavas14, usted y yo siempre creímos en @GarethBale11. POLLITA GALESA PARA TODOS. 0:-3"
disgusto,"Por lo visto el chiquitin del barça se a quedado sin marcar, que hostia tio  ;\"
disgusto,"El menos culpable de la situacion del Barcelona es el Tata Martino,los dirigentes empezando por Zubizarreta y lo jugadores son los culpables  ;\"
ira,"Nosotros sabemos jugar sin cristiano  ;-) , no lo queremos en el equipooo."
tristeza,@SandoUds El Barça fatal Sando. El Madrid por lo menos hoy si ha sabido a que jugaba. Messi desaparecido
